date,ic,rolling_ic_mean,rolling_ic_ir
2024-10-15,0.1154013982150313,0.03132885364574995,4.562148593427461
2024-10-16,0.06590194915068012,0.03519178629766013,5.271801031161053
2024-10-17,0.07242213913715002,0.037483558259482845,5.653575870463532
2024-10-18,0.03311421476758678,0.0394240498845285,6.014745097547159
2024-10-21,0.04393358635563133,0.039664698366656315,6.0518469099774626
2024-10-22,0.16835400519229385,0.04450013969593376,6.848325765714497
2024-10-23,0.1006564139268998,0.04558558233322556,6.9986537188377484
2024-10-24,0.028356704933934815,0.04556666844556621,6.995540338735898
2024-10-25,-0.01749338406336231,0.04636725171533004,7.166344816292333
2024-10-28,-0.037808939911913086,0.04081967504737629,6.6169736861518595
2024-10-29,-0.03238120351970968,0.03802991585805219,6.18653987336362
2024-10-30,0.07097809128265982,0.03955961249289749,6.449843458680076
2024-10-31,0.06347218167377704,0.03788195327354139,6.261502508104522
2024-11-01,0.16015275514912936,0.04011544011544012,6.543990164056895
2024-11-04,0.16865694131829018,0.0419291851489096,6.744352879508681
2024-11-05,0.11429324844843339,0.04205755367829335,6.7588032313771835
2024-11-06,0.07795190064950762,0.04355271873400953,7.009693944961568
2024-11-07,0.13546738492351257,0.04638273860536371,7.452843253749086
2024-11-08,0.13192789806277844,0.04647989791209516,7.46221924654035
2024-11-11,-0.034854920279140736,0.04515019667303932,7.20819773970709
2024-11-12,-0.020800567573591507,0.04287555969934506,6.850546255128634
2024-11-13,0.06871941208416915,0.04170282018360337,6.7133295625103315
2024-11-14,-0.050590333041384536,0.03736335173971143,6.127185678165451
2024-11-15,-0.08657066887668774,0.034978710758261165,5.661600014666025
2024-11-18,-0.07063434510860182,0.029052019207929294,4.940718786405566
2024-11-19,-0.015358704626289835,0.028180724681812434,4.783873229689613
2024-11-20,0.0550794383281693,0.027747170241731525,4.719831935709875
2024-11-21,0.049934233037931375,0.028842030582422178,4.913112856112905
2024-11-22,0.20357307666952337,0.033243525067310424,5.548295217168418
2024-11-25,0.2881613189807534,0.03767131064085379,5.942717588867791
2024-11-26,0.30454812289475097,0.04454508306937605,6.764906221463925
2024-11-27,0.21988453895633014,0.048471218975207384,7.2160253894889115
2024-11-29,0.04443900310470289,0.04740801258205175,7.076878155090734
2024-12-02,0.20913423052654384,0.048972999444355514,7.195963370886149
2024-12-03,0.0054905210815290595,0.048366394704320755,7.097465718607393
2024-12-04,0.00706484716637001,0.04716003921950261,6.917172656355465
2024-12-05,-0.08240647435716328,0.04719171932732484,6.9243057014236635
2024-12-06,-0.16779993030899487,0.04761099025058417,7.044518037624602
2024-12-09,0.04687661866777169,0.05187129766535134,8.082693387142111
2024-12-10,-0.0520139758718439,0.05320364109341631,8.451286784526548
2024-12-11,-0.03575274133649768,0.05207526942479808,8.220691309917829
2024-12-12,-0.05398384549943651,0.04943245256878325,7.751231527143128
2024-12-13,-0.04913686748349548,0.046738413870393576,7.296872737818355
2024-12-16,-0.04527246985550105,0.045595209318922164,7.073090266613528
2024-12-17,-0.021549274993800015,0.048383058807279264,7.835310264125268
2024-12-18,-0.03706023249170458,0.04793352043170753,7.736153776062924
2024-12-19,0.07926567027364706,0.046872092938082796,7.6191964034007045
2024-12-20,0.10486455772895223,0.04496971685151527,7.488314762038911
2024-12-23,-0.07151019152469479,0.041964135292634215,6.930241247696066
2024-12-24,-0.04106275643621547,0.04134795588747729,6.798928001869368
2024-12-26,-0.02501342022734336,0.04186904264859305,6.9170363899138465
2024-12-27,0.02844460349899074,0.04235384509133603,7.007693101768757
2024-12-30,0.16282895253163565,0.04391770706128938,7.176766185970854
2024-12-31,0.16258252262603243,0.04765211422209248,7.772129494257122
2025-01-02,0.07413930039020684,0.048224422825583105,7.861112912041819
2025-01-03,0.05403721248536333,0.05005797119647737,8.241607246185898
2025-01-06,0.11121836828870914,0.05152572027118801,8.46101768437639
2025-01-07,0.05157605266379741,0.05104787646484529,8.388932851180776
2025-01-08,0.025704051809925636,0.05029660533648932,8.263828981136372
2025-01-10,0.19377081704855456,0.050888717277404745,8.294284427830599
2025-01-13,0.1909596325839981,0.05214802118355419,8.385230884383214
2025-01-14,0.15962536375879383,0.05371007809368942,8.553392977269937
2025-01-15,0.06956072692113302,0.05366238789008913,8.546520157042549
2025-01-16,0.0681009828943114,0.05424550069220121,8.641115531155984
2025-01-17,0.024449927640645557,0.05392077304695145,8.583711777081236
2025-01-21,0.10367635748346411,0.05284281225180429,8.489803414442123
2025-01-22,0.13078678633428453,0.053344985125260695,8.542543690936771
2025-01-23,0.14577506129355297,0.055301957731254334,8.79778254482976
2025-01-24,0.14857839767194372,0.058069820760176104,9.215068911025627
2025-01-27,0.14152767706067199,0.06105876437638585,9.712139255069932
2025-01-28,0.1448003289917721,0.06401178991824388,10.201329039080525
2025-01-29,0.2161662005555829,0.06643159173945927,10.38704869906414
2025-01-30,0.2939563458055119,0.07027299447498818,10.555071496526955
2025-01-31,0.18573280719763682,0.07069932867579663,10.577127435107304
2025-02-03,0.030684447290683696,0.06839978710866987,10.297727773734534
2025-02-04,0.19022191248442155,0.069665264842603,10.388647264513638
2025-02-05,-0.05752647159463693,0.06740729197186726,9.93520377477309
2025-02-06,-0.0639995730641126,0.06408284267207351,9.36366558265077
2025-02-07,-0.0573396871438931,0.06092838291862898,8.842358268597405
2025-02-10,-0.14059532442418593,0.05916604284954489,8.402617631048797
2025-02-11,-0.041605843998882446,0.05881928824245671,8.332188815249305
2025-02-12,-0.03220383677236469,0.05713723409484781,8.050474031019888
2025-02-13,-0.05849178619301897,0.057005543208987236,8.02247801571909
2025-02-14,-0.016917334538799372,0.05816643211461871,8.27017468165743
2025-02-18,-0.033043581992095415,0.058792944833227154,8.406788935792735
2025-02-19,-0.08714985763571698,0.05759642561640336,8.14812597512236
2025-02-20,-0.1714822523379449,0.053820397438634794,7.362462651553198
2025-02-21,-0.13788459546255052,0.05069008363029343,6.781688642024318
2025-02-24,-0.10935837186743641,0.045474559488010775,6.0816844560594205
2025-02-25,0.11364499653114592,0.04256595411385065,5.889989568650705
2025-02-26,0.06266696803317544,0.038534601532824383,5.586931530058045
2025-02-27,-0.03410621285893223,0.034301422335903345,5.077208980048057
2025-02-28,-0.058647178299099996,0.032583319312506624,4.793466047827325
2025-03-03,-0.06388969985779269,0.028032920472767685,4.195191100342761
2025-03-04,-0.0906014459313952,0.026431387689218946,3.916157333727253
2025-03-05,-0.07202973482886464,0.02511314465596504,3.6957845398183458
2025-03-06,0.2167311779349488,0.030098772194166908,4.355066514965027
2025-03-07,0.10488339313574993,0.03464349425157932,5.140216122716456
2025-03-10,0.33879089245296645,0.03950873214799923,5.503286354940275
2025-03-11,0.11836169631673621,0.042348326684475565,5.909018610060604
2025-03-12,0.08043660472957065,0.04428481578557671,6.199038701568487
2025-03-13,0.17793651840062283,0.04815015518391103,6.707880860603501
2025-03-14,0.06070808572621481,0.049980904404072865,7.006541786328125
2025-03-17,0.12973357317084658,0.052897671787845324,7.431273236836118
2025-03-18,0.1691011429952692,0.05607517875432981,7.839485864756773
2025-03-19,-0.05190881151722341,0.05582770243723784,7.7896316683252005
2025-03-20,-0.013979011078358434,0.05427362441470441,7.552157812233007
2025-03-21,-0.03977567030503942,0.05186295394747121,7.188974846708609
2025-03-24,0.03622048727197386,0.05365846526074902,7.511854751140498
2025-03-25,-0.02775397191640847,0.05388027833607914,7.554602494449846
2025-03-26,-0.047090086611478926,0.05351233389634355,7.483433122645614
2025-03-27,0.053950883537540545,0.05393743856365272,7.546054026949637
2025-03-28,-0.03658620808729583,0.05061385255333718,7.101319626744601
2025-03-31,0.13034886312623806,0.050076624895007284,7.0549445941570115
2025-04-01,0.08557710116810914,0.05026725490797233,7.078593291575077
2025-04-02,0.22645809592872684,0.05314093629869505,7.335390835985778
2025-04-03,0.09249911316626327,0.05282894871332095,7.300890218802116
2025-04-04,0.2277294858875715,0.05576483926705052,7.561956116233044
2025-04-07,0.07541225996628463,0.05659330940298983,7.676953638328216
2025-04-08,0.11515810754389436,0.05528309757791216,7.5721601774916225
2025-04-09,-0.19873551635698122,0.04878817842889584,6.506030108949483
2025-04-10,-0.054789059140038114,0.045214604713915314,6.037878040408829
2025-04-11,0.01938477282929785,0.04437833881238472,5.926089127575814
2025-04-14,0.09613277706098591,0.0448455353818293,5.980939885624829
2025-04-15,0.26000709466989386,0.0487714881656501,6.3363832731970255
2025-04-16,0.4248216130014535,0.054123909090949926,6.542472180282148
2025-04-17,0.33106366681421073,0.057461857098948695,6.718238824052121
2025-04-21,0.3891128209474838,0.06151748642651421,6.879466737644234
2025-04-22,0.2238902021353073,0.06277268316757027,6.965296650147079
2025-04-23,-0.04469014186200554,0.0596690528521923,6.607883535656411
2025-04-24,-0.03851212843236049,0.05661384522845676,6.264811000402665
2025-04-25,-0.11825182311041632,0.051040211500690116,5.640479836164795
2025-04-28,-0.045123356218352596,0.045388883133625706,5.12591963314098
2025-04-29,-0.0655644814455547,0.041200594989572514,4.669854079831162
2025-04-30,0.04081789614784539,0.04136948580385855,4.689224116071006
2025-05-01,0.1452508091376837,0.040619967414746244,4.627113149907883
2025-05-02,-0.02768647837538338,0.04111730063506713,4.693980983114021
2025-05-05,0.1082878929144339,0.04398875840137625,5.037338518010846
2025-05-06,0.43119582858524125,0.05213101699686182,5.641701184377422
2025-05-07,0.35031188294422533,0.060312803786335335,6.407744621505825
2025-05-08,0.13842297417351807,0.06331328408920868,6.738878343307746
2025-05-09,0.17114007578112003,0.06670234929843342,7.094699087616308
2025-05-12,0.19662909003010529,0.07095436390215216,7.546606463539257
2025-05-13,0.1606911338600969,0.07391450504213376,7.86202464263888
2025-05-14,0.08554413920621319,0.07589096706210557,8.107929241077464
2025-05-15,0.11477355132177469,0.07925635721139711,8.55243043167225
2025-05-16,0.09370771843578227,0.08367619005762589,9.263898942426374
2025-05-19,-0.05179265984197094,0.08511105565130221,9.544955207494223
2025-05-20,-0.021444110639179535,0.08657629333843983,9.820361994753862
2025-05-21,0.06621273336284214,0.0857857556189681,9.7321884632014
2025-05-22,0.020425429054870683,0.08508172996932968,9.636865651149893
2025-05-23,-0.001627693070767763,0.08562303863246576,9.72635376505321
2025-05-27,-0.046936264122631056,0.08581822053540691,9.762278634358482
2025-05-28,-0.03612631023798537,0.08628094369573704,9.847343905165689
2025-05-29,-0.015423058932848639,0.08753391681237947,10.08370765765539
2025-05-30,-0.08543112676542698,0.08731056028010345,10.038047335338701
2025-06-02,-0.025521976210881217,0.08327300771100628,9.595187274909199
2025-06-03,-0.13960332633284048,0.07919822905319643,8.935354609082856
2025-06-04,-0.06720787068865387,0.0724315830008361,8.347804374699061
2025-06-05,0.1338648057284751,0.07268996815769842,8.371376657533812
2025-06-06,-0.04483140741298827,0.07060216795532243,8.082449057282657
2025-06-09,-0.15243494721377246,0.06509597686174917,7.335341375849805
2025-06-10,0.13546738492351257,0.06634196518170414,7.460343423735562
2025-06-11,0.07887954443429425,0.06549439803609493,7.377291542174926
2025-06-12,0.11769617860988421,0.06463764862967185,7.30593533163526
2025-06-13,0.06689394724202556,0.06661769460899265,7.57482605853066
2025-06-16,0.05751862350847123,0.06780932185210649,7.732198581309359
2025-06-17,0.08739942677578647,0.06992890680345358,8.014153393608433
2025-06-18,0.0341281875001962,0.06989403514059062,8.009642710508398
2025-06-20,0.1329512884987867,0.07257245614751055,8.33866749121185
2025-06-23,0.15266097209534485,0.07590164045929094,8.754569087887276
2025-06-24,0.029535487476024105,0.075494717191599,8.701182087772759
2025-06-25,-0.06572301278610199,0.07500910377995224,8.616903717552065
2025-06-26,0.05795340748205143,0.0738025128525491,8.4890707230043
2025-06-27,0.19509714361055913,0.07562784689325662,8.643922461022953
2025-06-30,0.03167016691309658,0.07238138140966278,8.351942762311877
2025-07-01,0.06314727090651674,0.07189218403866701,8.296735428558936
2025-07-02,-0.09396199642755118,0.06653065933341495,7.672842496646243
2025-07-03,-0.03752013034101505,0.0646484528282933,7.4208846706326685
2025-07-07,-0.06824381806252727,0.061591754068186275,7.0248699068095215
2025-07-08,0.2942106237972808,0.06980752307075731,8.02432980982519
2025-07-09,0.18299068589133857,0.07377051882128026,8.493684131646525
2025-07-10,0.12732421071797434,0.0755695094527582,8.70191551293615
2025-07-11,-0.010722055319589767,0.0737885955797486,8.471069189515147
2025-07-14,0.033382619314453986,0.07001152099049127,8.161011036935237
2025-07-15,-0.07593965135662019,0.06166549991785671,7.574453634030305
2025-07-16,-0.0469755045534596,0.05536484706172887,7.029515496116051
2025-07-17,-0.08003478271788643,0.0475457203339727,6.380579958182526
2025-07-18,0.06742133863236113,0.044937905942256925,6.147557054435136
2025-07-21,0.009536994308567913,0.04584169154509982,6.298323696055452
2025-07-22,0.08190262722532485,0.04784860413939458,6.599483004231523
2025-07-23,0.18104279090500994,0.05283684770631835,7.340940380777294
2025-07-24,0.13322754113181962,0.05580936266215455,7.772436901717662
2025-07-25,0.024357320223890203,0.0573080593566453,8.054393671119934
2025-07-28,0.07089333195207018,0.057809316620049046,8.125396108012946
2025-07-29,0.0029289057570420877,0.05543728489703836,7.817860733795901
2025-07-30,-0.0005854672279617893,0.055888968416162046,7.901575833977056
2025-07-31,0.039678354036584644,0.05474547610153122,7.7532692978797
2025-08-01,0.1663558824545047,0.05033147699935228,7.852345647288032
2025-08-04,0.08159027339592968,0.04585278350688069,7.748649765250346
2025-08-05,0.06688609915585986,0.04466050225658638,7.607402063698618
2025-08-06,0.05807743003330784,0.042776124827456186,7.403136678355108
2025-08-07,0.009612335935758708,0.03965917892588374,7.029599264010136
2025-08-08,-0.030718978869812813,0.03646901038038523,6.535700936209224
2025-08-11,-0.08193088033552139,0.03367776005468967,5.964122982457672
2025-08-12,-0.15067383667818765,0.02925363692135696,5.042980961140286
2025-08-13,-0.10551280964623967,0.025933294786656593,4.41213171102263
2025-08-14,-0.08835061481907022,0.025323995537038273,4.279419853879829
2025-08-15,-0.21059397455336545,0.022171497805135176,3.5698091721347627
2025-08-18,-0.17844978323586014,0.018093789195156806,2.8228847755033266
