date,rolling_sharpe_net_63d,rolling_sharpe_gross_63d
2024-11-01,2.22691437138558,3.5663372217475873
2024-11-04,1.3564771016506858,2.6876394043180523
2024-11-05,0.3993999309176182,1.7221982935599052
2024-11-06,0.4125490971066859,1.7422262988628043
2024-11-07,0.38761755731004105,1.7212230364380903
2024-11-08,0.20623985428684236,1.5293263922764488
2024-11-11,0.15154960365334239,1.4732572893071827
2024-11-12,-0.08434167723763378,1.233902125889008
2024-11-13,-0.24795000892167962,1.0816748110220626
2024-11-14,-0.05576424329145933,1.2893149269269333
2024-11-15,-0.1736483918024114,1.1675244081442298
2024-11-18,-0.2048039006289972,1.1341988848176787
2024-11-19,-0.23447204058243318,1.1047693059320323
2024-11-20,-0.7922553767270872,0.5485362642410087
2024-11-21,-0.8348944029604727,0.5015158295768318
2024-11-22,-0.5132348150336291,0.8053399552385178
2024-11-25,-0.18873481139602077,1.130524700747352
2024-11-26,-0.10197052452290993,1.2197800189205903
2024-11-27,0.04587932960979877,1.3617549729664227
2024-11-28,0.04587932960979877,1.3617549729664227
2024-11-29,0.7401955048386076,2.059620714782947
2024-12-02,0.9998725141267657,2.326806262065155
2024-12-03,0.8044766601785176,2.124876082717671
2024-12-04,0.46196065057614355,1.8217874453813951
2024-12-05,0.4334536884227207,1.7934778291362454
2024-12-06,-0.3979721865411991,0.9927254690473152
2024-12-09,0.4622391592878476,1.76922733906222
2024-12-10,0.796353559882875,2.0955256227092742
2024-12-11,0.7861856322840324,2.086237416582224
2024-12-12,1.054543826996558,2.3449546505891568
2024-12-13,1.0469955035721354,2.3392152173758975
2024-12-16,0.9070047617823446,2.2120698228243736
2024-12-17,1.0097033283351378,2.316758029241222
2024-12-18,1.0965181351601487,2.4168250801715927
2024-12-19,1.2294848228428095,2.55546156181151
2024-12-20,1.2427128459041907,2.578300934047324
2024-12-23,1.075543577205586,2.4140242159548704
2024-12-24,1.1170979284944325,2.460521971638618
2024-12-25,1.0673137507406318,2.388701466153974
2024-12-26,1.053925018353228,2.3753328229125104
2024-12-27,1.018463054902171,2.337415784915643
2024-12-30,1.1983595525552189,2.5074481145571696
2024-12-31,1.3020980201588939,2.597030653788276
2025-01-01,0.9457748327182532,2.2346763080979204
2025-01-02,0.8228372517296731,2.1127934800369608
2025-01-03,0.8608724807590337,2.158426746758745
2025-01-06,1.0443152999415855,2.3418310626833643
2025-01-07,0.7523474306014236,2.0446571383253866
2025-01-08,0.6841204951530568,1.9687922005240086
2025-01-09,0.2782265268298384,1.5703518156996836
2025-01-10,-0.1320872725531599,1.1878031336735713
2025-01-13,0.1306392096691357,1.4277806858161857
